MA,FA,Cs,Pb,Sn,Other,I,Br,Gap,Po,ETL,HTL,Ne,Area,Add_O,Add_I,Add_H,Passivation,Step,Solvent,Coated1_v,Coated1_t,Coated2_v,Coated2_t,antisolvent,Anneal_T,Anneal_t,Jsc,Voc,FF,PCE
1,0,0,0.95,0,0.05,0.966666667,0.033333333,0.600760456,0,0.333333333,0.333333333,0.666666667,0.064285714,1,0,0,1,1,1,0.125,0.222222222,0.666666667,0.666666667,0,0.285714286,0.111111111,22.81,1.13,0.74,19.02
1,0,0,0.9,0.05,0.05,0.966666667,0.033333333,0.600760456,0,0.333333333,0.333333333,0.666666667,0.064285714,1,0,0,1,1,1,0.125,0.222222222,0.666666667,0.666666667,0,0.285714286,0.111111111,23.97,1.08,0.81,21.08
1,0,0,0,1,0,1,0,0.494296578,0,0.333333333,1,0.333333333,0.096428571,0,1,1,0,0.5,0.5,0.1875,0.333333333,0,0,0,0.285714286,0.222222222,19.92,0.3775,0.5173,3.89
0,0,1,0,1,0,1,0,0.475285171,0,0.333333333,1,0.333333333,0.096428571,0,1,1,0,0.5,0.5,0.1875,0.333333333,0,0,0,0.285714286,0.222222222,30.75,0.17,0.3488,1.83
0,0,1,0,1,0,0,1,0.680608365,0,0.333333333,1,0.333333333,0.096428571,0,1,1,0,0.5,0.5,0.1875,0.333333333,0,0,0,0.285714286,0.222222222,13.96,0.366,0.593,3.04
1,0,0,1,0,0,0.6,0.4,0.684410646,1,1,0.666666667,0.666666667,0.071428571,0,0,0,0,1,1,0.125,0.166666667,0.666666667,0.75,0.7,0.285714286,0.111111111,14.34,1.05,0.74,11.14
1,0,0,0.75,0.25,0,0.6,0.4,0.657794677,1,1,0.666666667,0.666666667,0.071428571,0,0,0,1,1,1,0.125,0.166666667,0.666666667,0.75,0.7,0.285714286,0.111111111,17.25,0.91,0.76,11.93
1,0,0,0.5,0.5,0,0.6,0.4,0.551330798,1,1,0.666666667,0.666666667,0.071428571,0,0,0,1,1,1,0.125,0.166666667,0.666666667,0.75,0.7,0.285714286,0.111111111,6.02,0.57,0.68,2.34
1,0,0,0.25,0.75,0,0.6,0.4,0.513307985,1,1,0.666666667,0.666666667,0.071428571,0,0,0,1,1,1,0.125,0.166666667,0.666666667,0.75,0.7,0.285714286,0.111111111,2.76,0.41,0.63,0.71
1,0,0,0,1,0,0.6,0.4,0.608365019,1,1,0.666666667,0.666666667,0.071428571,0,0,0,0,1,1,0.125,0.166666667,0.666666667,0.75,0.7,0.285714286,0.111111111,1.03,0.15,0.51,0.07
0.25,0.75,0,0,1,0,1,0,0.532319392,1,1,0.666666667,0.333333333,0.075,0,1,0,0,0.5,0.25,0.625,0.555555556,0,0,0.43414557,0.2,0.111111111,17.61,0.46,0.41,3.31
0.25,0.75,0,0,0.95,0.5,1,0,0.532319392,1,1,0.666666667,0.333333333,0.075,0,1,0,0,0.5,0.25,0.625,0.555555556,0,0,0.43414557,0.2,0.111111111,19.5,0.42,0.55,4.48
0.25,0.75,0,0,0.9,1,1,0,0.539923954,1,1,0.666666667,0.333333333,0.075,0,1,0,0,0.5,0.25,0.625,0.555555556,0,0,0.43414557,0.2,0.111111111,13.27,0.33,0.49,2.04
0.25,0.75,0,0,0.8,0.2,1,0,0.581749049,1,1,0.666666667,0.333333333,0.075,0,1,0,0,0.5,0.25,0.625,0.555555556,0,0,0.43414557,0.2,0.111111111,11.84,0.15,0.46,0.8
1,0,0,0,1,0,1,0,0.494296578,0,0.333333333,0.333333333,0.333333333,0.071428571,0,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,11.63,0.68,0.48,5.23
1,0,0,0,1,0,0.666666667,0.333333333,0.593155894,0,0.333333333,0.333333333,0.333333333,0.071428571,0,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,14.38,0.77,0.5,5.48
1,0,0,0,1,0,0.333333333,0.666666667,0.66539924,0,0.333333333,0.333333333,0.333333333,0.071428571,0,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,12.3,0.82,0.57,5.73
1,0,0,0,1,0,0,1,0.817490494,0,0.333333333,0.333333333,0.333333333,0.071428571,0,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,8.26,0.88,0.59,3.27
0,0,1,1,0,0,1,0,0.650190114,0,0.333333333,1,0.333333333,0.064285714,0,1,1,0,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,16.02,0.89,0.5659,8.07
0,0,1,0.99,0.01,0,1,0,1,0,0.333333333,1,0.333333333,0.064285714,0,1,1,0,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,15.2,0.83,0.5731,7.23
0,0,1,0.975,0.025,0,1,0,0.661596958,0,0.333333333,1,0.333333333,0.064285714,0,1,1,0,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,15.84,0.87,0.6364,8.77
0,0,1,0.96,0.04,0,1,0,0.593155894,0,0.333333333,1,0.333333333,0.064285714,0,1,1,0,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,18.76,0.97,0.7259,13.21
0,0,1,0.95,0.05,0,1,0,0.600760456,0,0.333333333,1,0.333333333,0.064285714,0,1,1,0,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,17.35,0.93,0.6607,10.66
0,0,1,1,0,0,1,0,0.66539924,0,0.333333333,0,1,0.044642857,0,0,0,0,0.5,0.5,0.25,0.333333333,0,0,0,0.314285714,0.111111111,13.46,0.71,0.46,4.45
